id,location_name,experience,safety_level
1,Peshwe Udyan Zoo,Scenic and tranquil,3
2,Shinde Chhatri,Very spiritual and peaceful,1
3,Rajiv Gandhi Zoological Park,Developing area,3
4,Empress Garden,Rich historical significance,3
5,Saras Baug,Amazing variety of animals,2
6,Hong Kong Lane,Very spiritual and peaceful,3
7,Tathawade Park,Beautiful garden with a serene atmosphere,3
8,Peshwe Udyan Zoo,Very spiritual and peaceful,3
9,Shaniwar Wada,Family-friendly,3
10,Mahatma Phule Mandai,Busy and bustling,1
11,Saras Baug,Busy and bustling,1
12,Bund Garden,Rich historical significance,3
13,Kasba Ganpati Temple,Well-connected,1
14,Tathawade Park,Scenic and tranquil,1
15,Empress Garden,Beautiful garden with a serene atmosphere,1
16,Lal Mahal,Developing area,5
17,Shinde Chhatri,Very spiritual and peaceful,4
18,Sambhaji Park,Great for shopping,2
19,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,4
20,Osho Ashram,Rich historical significance,4
21,Shunyo Park,Rich historical significance,1
22,Peshwe Udyan Zoo,Beautiful garden with a serene atmosphere,4
23,Chaturshringi Temple,Family-friendly,2
24,Parvati Hill Temple,Family-friendly,3
25,Pataleshwar Cave Temple,Very spiritual and peaceful,2
26,Kamala Nehru Park,Busy and bustling,3
27,Shinde Chhatri,Developing area,2
28,Shinde Chhatri,Well-connected,4
29,Mulshi Lake and Dam,Great for shopping,1
30,Pataleshwar Cave Temple,Rich historical significance,5
31,Hong Kong Lane,Very spiritual and peaceful,3
32,Saras Baug,Beautiful garden with a serene atmosphere,2
33,Vishrambaug Wada,Developing area,2
34,Tulsi Baug,Beautiful garden with a serene atmosphere,4
35,Mulshi Lake and Dam,Great for shopping,1
36,Sambhaji Park,Well-connected,3
37,Osho Ashram,Scenic and tranquil,3
38,Empress Garden,Rich historical significance,3
39,Peshwa Udyan,Very spiritual and peaceful,4
40,Tulsi Baug,Beautiful garden with a serene atmosphere,1
41,Saras Baug,Family-friendly,2
42,Sinhagad Fort,Well-connected,3
43,Peshwa Udyan,Busy and bustling,2
44,Lal Mahal,Busy and bustling,3
45,Raja Dinkar Kelkar Museum,Very spiritual and peaceful,5
46,Chaturshringi Temple,Developing area,1
47,Pune Okayama Friendship Garden,Family-friendly,5
48,Kasba Ganpati Temple,Very spiritual and peaceful,5
49,Mahatma Phule Mandai,Family-friendly,3
50,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,3
51,Osho Ashram,Beautiful garden with a serene atmosphere,4
52,Osho Ashram,Rich historical significance,2
53,Fashion Street,Amazing variety of animals,1
54,Osho Ashram,Beautiful garden with a serene atmosphere,1
55,Fashion Street,Well-connected,1
56,Kamala Nehru Park,Family-friendly,1
57,Hong Kong Lane,Rich historical significance,2
58,Bund Garden,Amazing variety of animals,1
59,Empress Garden,Beautiful garden with a serene atmosphere,5
60,Tathawade Park,Beautiful garden with a serene atmosphere,4
61,Saras Baug,Well-connected,5
62,Osho Ashram,Rich historical significance,1
63,Chaturshringi Temple,Family-friendly,2
64,Mulshi Lake and Dam,Amazing variety of animals,2
65,Kamala Nehru Park,Well-connected,5
66,Aga Khan Palace,Well-connected,2
67,Saras Baug,Very spiritual and peaceful,1
68,Fashion Street,Scenic and tranquil,1
69,Tathawade Park,Great for shopping,4
70,Shaniwar Wada,Rich historical significance,4
71,Empress Garden,Well-connected,1
72,Laxmi Road,Family-friendly,5
73,Osho Ashram,Great for shopping,3
74,Hong Kong Lane,Beautiful garden with a serene atmosphere,3
75,Pune Okayama Friendship Garden,Great for shopping,3
76,Mulshi Lake and Dam,Well-connected,3
77,Raja Dinkar Kelkar Museum,Rich historical significance,1
78,Vishrambaug Wada,Scenic and tranquil,1
79,Raja Dinkar Kelkar Museum,Family-friendly,4
80,Baner Pashan Biodiversity Park,Family-friendly,4
81,Rajiv Gandhi Zoological Park,Developing area,1
82,Laxmi Road,Well-connected,3
83,Saras Baug,Rich historical significance,5
84,Vishrambaug Wada,Rich historical significance,5
85,Mahatma Phule Mandai,Well-connected,5
86,Chaturshringi Temple,Great for shopping,3
87,Empress Garden,Well-connected,5
88,Rajiv Gandhi Zoological Park,Rich historical significance,4
89,Kamala Nehru Park,Busy and bustling,5
90,Fashion Street,Rich historical significance,5
91,Shaniwar Wada,Developing area,1
92,Laxmi Road,Scenic and tranquil,5
93,Lal Mahal,Great for shopping,1
94,Fashion Street,Scenic and tranquil,5
95,Sinhagad Fort,Family-friendly,3
96,Katraj Snake Park,Amazing variety of animals,3
97,Tathawade Park,Family-friendly,1
98,Sinhagad Fort,Busy and bustling,3
99,Vishrambaug Wada,Great for shopping,5
100,Saras Baug,Family-friendly,3
101,Aga Khan Palace,Well-connected,4
102,Lal Mahal,Beautiful garden with a serene atmosphere,2
103,Shinde Chhatri,Amazing variety of animals,1
104,Hong Kong Lane,Amazing variety of animals,1
105,Sambhaji Park,Well-connected,5
106,Katraj Snake Park,Great for shopping,5
107,Mahatma Phule Mandai,Great for shopping,3
108,Katraj Snake Park,Very spiritual and peaceful,4
109,Peshwe Udyan Zoo,Family-friendly,5
110,Katraj Snake Park,Amazing variety of animals,2
111,Katraj Snake Park,Busy and bustling,1
112,Pataleshwar Cave Temple,Developing area,3
113,Pune Okayama Friendship Garden,Rich historical significance,1
114,Saras Baug,Busy and bustling,1
115,Vishrambaug Wada,Great for shopping,2
116,Osho Ashram,Developing area,4
117,Katraj Snake Park,Well-connected,1
118,Baner Pashan Biodiversity Park,Rich historical significance,2
119,Laxmi Road,Beautiful garden with a serene atmosphere,5
120,Vishrambaug Wada,Rich historical significance,4
121,Tathawade Park,Busy and bustling,2
122,Fashion Street,Family-friendly,3
123,Sinhagad Fort,Family-friendly,3
124,Shaniwar Wada,Amazing variety of animals,4
125,Osho Ashram,Great for shopping,1
126,Chaturshringi Temple,Very spiritual and peaceful,2
127,Tulsi Baug,Great for shopping,5
128,Vishrambaug Wada,Beautiful garden with a serene atmosphere,3
129,Baner Pashan Biodiversity Park,Rich historical significance,5
130,Peshwa Udyan,Family-friendly,5
131,Laxmi Road,Rich historical significance,1
132,Laxmi Road,Great for shopping,2
133,Dagdusheth Halwai Ganpati Temple,Well-connected,1
134,Dagdusheth Halwai Ganpati Temple,Beautiful garden with a serene atmosphere,3
135,Bund Garden,Great for shopping,3
136,Parvati Hill Temple,Scenic and tranquil,4
137,Parvati Hill Temple,Great for shopping,5
138,Empress Garden,Rich historical significance,2
139,Shunyo Park,Very spiritual and peaceful,4
140,Tathawade Park,Amazing variety of animals,2
141,Katraj Snake Park,Great for shopping,2
142,Tulsi Baug,Beautiful garden with a serene atmosphere,3
143,Shinde Chhatri,Very spiritual and peaceful,3
144,Mulshi Lake and Dam,Great for shopping,3
145,Raja Dinkar Kelkar Museum,Very spiritual and peaceful,1
146,Shaniwar Wada,Beautiful garden with a serene atmosphere,1
147,Katraj Snake Park,Great for shopping,4
148,Tulsi Baug,Well-connected,4
149,Osho Ashram,Beautiful garden with a serene atmosphere,4
150,Mahatma Phule Mandai,Scenic and tranquil,5
151,Mahatma Phule Mandai,Family-friendly,3
152,Saras Baug,Rich historical significance,5
153,Pataleshwar Cave Temple,Beautiful garden with a serene atmosphere,1
154,Bund Garden,Very spiritual and peaceful,5
155,Vishrambaug Wada,Family-friendly,3
156,Osho Ashram,Busy and bustling,5
157,Shinde Chhatri,Rich historical significance,1
158,Shunyo Park,Developing area,1
159,Parvati Hill Temple,Family-friendly,1
160,Parvati Hill Temple,Very spiritual and peaceful,4
161,Peshwa Udyan,Scenic and tranquil,1
162,Kamala Nehru Park,Rich historical significance,5
163,Parvati Hill Temple,Developing area,4
164,Mahatma Phule Mandai,Beautiful garden with a serene atmosphere,3
165,Sambhaji Park,Amazing variety of animals,3
166,Peshwa Udyan,Scenic and tranquil,1
167,Vishrambaug Wada,Developing area,4
168,Baner Pashan Biodiversity Park,Beautiful garden with a serene atmosphere,1
169,Sinhagad Fort,Amazing variety of animals,4
170,Peshwa Udyan,Busy and bustling,4
171,Pataleshwar Cave Temple,Well-connected,4
172,Rajiv Gandhi Zoological Park,Developing area,4
173,Pataleshwar Cave Temple,Great for shopping,2
174,Mahatma Phule Mandai,Great for shopping,1
175,Peshwe Udyan Zoo,Beautiful garden with a serene atmosphere,1
176,Laxmi Road,Busy and bustling,2
177,Tathawade Park,Rich historical significance,2
178,Baner Pashan Biodiversity Park,Beautiful garden with a serene atmosphere,4
179,Mulshi Lake and Dam,Developing area,3
180,Empress Garden,Busy and bustling,4
181,Dagdusheth Halwai Ganpati Temple,Great for shopping,2
182,Katraj Snake Park,Scenic and tranquil,1
183,Peshwa Udyan,Rich historical significance,5
184,Shunyo Park,Busy and bustling,1
185,Raja Dinkar Kelkar Museum,Great for shopping,3
186,Chaturshringi Temple,Beautiful garden with a serene atmosphere,1
187,Baner Pashan Biodiversity Park,Rich historical significance,5
188,Hong Kong Lane,Well-connected,1
189,Mulshi Lake and Dam,Great for shopping,2
190,Sambhaji Park,Rich historical significance,1
191,Empress Garden,Amazing variety of animals,3
192,Mahatma Phule Mandai,Family-friendly,5
193,Aga Khan Palace,Amazing variety of animals,4
194,Shinde Chhatri,Developing area,3
195,Parvati Hill Temple,Well-connected,5
196,Mulshi Lake and Dam,Scenic and tranquil,1
197,Shinde Chhatri,Rich historical significance,3
198,Sambhaji Park,Scenic and tranquil,5
199,Sinhagad Fort,Developing area,3
200,Sambhaji Park,Great for shopping,2
201,Tathawade Park,Great for shopping,3
202,Fashion Street,Very spiritual and peaceful,4
203,Tathawade Park,Busy and bustling,4
204,Tathawade Park,Beautiful garden with a serene atmosphere,4
205,Peshwa Udyan,Beautiful garden with a serene atmosphere,5
206,Empress Garden,Very spiritual and peaceful,4
207,Bund Garden,Scenic and tranquil,5
208,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,3
209,Osho Ashram,Rich historical significance,3
210,Shunyo Park,Rich historical significance,3
211,Peshwa Udyan,Busy and bustling,1
212,Raja Dinkar Kelkar Museum,Scenic and tranquil,3
213,Kamala Nehru Park,Great for shopping,2
214,Peshwe Udyan Zoo,Well-connected,4
215,Pataleshwar Cave Temple,Well-connected,3
216,Chaturshringi Temple,Amazing variety of animals,2
217,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,5
218,Rajiv Gandhi Zoological Park,Scenic and tranquil,1
219,Tathawade Park,Amazing variety of animals,3
220,Saras Baug,Busy and bustling,5
221,Shaniwar Wada,Family-friendly,3
222,Tulsi Baug,Family-friendly,3
223,Mulshi Lake and Dam,Very spiritual and peaceful,2
224,Shunyo Park,Amazing variety of animals,2
225,Shunyo Park,Family-friendly,2
226,Tulsi Baug,Great for shopping,3
227,Peshwe Udyan Zoo,Well-connected,3
228,Mulshi Lake and Dam,Beautiful garden with a serene atmosphere,4
229,Parvati Hill Temple,Busy and bustling,1
230,Shinde Chhatri,Great for shopping,4
231,Dagdusheth Halwai Ganpati Temple,Great for shopping,5
232,Raja Dinkar Kelkar Museum,Developing area,1
233,Pune Okayama Friendship Garden,Great for shopping,4
234,Katraj Snake Park,Great for shopping,4
235,Tulsi Baug,Very spiritual and peaceful,3
236,Chaturshringi Temple,Busy and bustling,5
237,Sinhagad Fort,Rich historical significance,2
238,Raja Dinkar Kelkar Museum,Beautiful garden with a serene atmosphere,4
239,Rajiv Gandhi Zoological Park,Well-connected,2
240,Kamala Nehru Park,Busy and bustling,1
241,Shaniwar Wada,Beautiful garden with a serene atmosphere,1
242,Kamala Nehru Park,Scenic and tranquil,1
243,Mulshi Lake and Dam,Busy and bustling,2
244,Bund Garden,Very spiritual and peaceful,3
245,Fashion Street,Very spiritual and peaceful,5
246,Kamala Nehru Park,Well-connected,4
247,Raja Dinkar Kelkar Museum,Developing area,5
248,Dagdusheth Halwai Ganpati Temple,Very spiritual and peaceful,5
249,Mulshi Lake and Dam,Amazing variety of animals,2
250,Saras Baug,Busy and bustling,4
251,Raja Dinkar Kelkar Museum,Amazing variety of animals,1
252,Bund Garden,Developing area,1
253,Sambhaji Park,Scenic and tranquil,1
254,Pataleshwar Cave Temple,Very spiritual and peaceful,1
255,Pune Okayama Friendship Garden,Family-friendly,4
256,Hong Kong Lane,Family-friendly,1
257,Aga Khan Palace,Amazing variety of animals,1
258,Lal Mahal,Amazing variety of animals,3
259,Aga Khan Palace,Busy and bustling,3
260,Aga Khan Palace,Beautiful garden with a serene atmosphere,1
261,Aga Khan Palace,Family-friendly,5
262,Bund Garden,Family-friendly,2
263,Kasba Ganpati Temple,Family-friendly,3
264,Sambhaji Park,Busy and bustling,4
265,Fashion Street,Rich historical significance,1
266,Peshwa Udyan,Developing area,4
267,Osho Ashram,Beautiful garden with a serene atmosphere,2
268,Mulshi Lake and Dam,Busy and bustling,4
269,Shunyo Park,Beautiful garden with a serene atmosphere,3
270,Lal Mahal,Busy and bustling,3
271,Bund Garden,Family-friendly,5
272,Saras Baug,Very spiritual and peaceful,1
273,Shinde Chhatri,Busy and bustling,5
274,Baner Pashan Biodiversity Park,Great for shopping,3
275,Baner Pashan Biodiversity Park,Busy and bustling,4
276,Hong Kong Lane,Scenic and tranquil,2
277,Laxmi Road,Amazing variety of animals,2
278,Aga Khan Palace,Well-connected,3
279,Fashion Street,Great for shopping,2
280,Tulsi Baug,Very spiritual and peaceful,1
281,Raja Dinkar Kelkar Museum,Very spiritual and peaceful,2
282,Baner Pashan Biodiversity Park,Great for shopping,5
283,Kasba Ganpati Temple,Very spiritual and peaceful,5
284,Mulshi Lake and Dam,Busy and bustling,5
285,Tulsi Baug,Amazing variety of animals,2
286,Peshwa Udyan,Well-connected,4
287,Mahatma Phule Mandai,Developing area,3
288,Rajiv Gandhi Zoological Park,Very spiritual and peaceful,3
289,Vishrambaug Wada,Scenic and tranquil,4
290,Shinde Chhatri,Beautiful garden with a serene atmosphere,4
291,Vishrambaug Wada,Family-friendly,5
292,Fashion Street,Developing area,5
293,Sinhagad Fort,Scenic and tranquil,5
294,Katraj Snake Park,Beautiful garden with a serene atmosphere,5
295,Pataleshwar Cave Temple,Scenic and tranquil,4
296,Peshwa Udyan,Amazing variety of animals,2
297,Rajiv Gandhi Zoological Park,Rich historical significance,5
298,Sinhagad Fort,Great for shopping,4
299,Vishrambaug Wada,Busy and bustling,5
300,Bund Garden,Great for shopping,1
301,Raja Dinkar Kelkar Museum,Very spiritual and peaceful,1
302,Tulsi Baug,Scenic and tranquil,4
303,Shaniwar Wada,Developing area,1
304,Aga Khan Palace,Very spiritual and peaceful,4
305,Peshwa Udyan,Beautiful garden with a serene atmosphere,3
306,Sambhaji Park,Rich historical significance,2
307,Pataleshwar Cave Temple,Busy and bustling,2
308,Chaturshringi Temple,Beautiful garden with a serene atmosphere,4
309,Bund Garden,Very spiritual and peaceful,1
310,Rajiv Gandhi Zoological Park,Great for shopping,2
311,Katraj Snake Park,Developing area,3
312,Hong Kong Lane,Well-connected,4
313,Raja Dinkar Kelkar Museum,Scenic and tranquil,3
314,Tathawade Park,Family-friendly,3
315,Bund Garden,Busy and bustling,2
316,Mulshi Lake and Dam,Rich historical significance,5
317,Osho Ashram,Developing area,5
318,Peshwa Udyan,Scenic and tranquil,3
319,Tathawade Park,Scenic and tranquil,2
320,Sinhagad Fort,Family-friendly,1
321,Sambhaji Park,Amazing variety of animals,1
322,Raja Dinkar Kelkar Museum,Family-friendly,4
323,Shinde Chhatri,Family-friendly,2
324,Vishrambaug Wada,Well-connected,5
325,Mulshi Lake and Dam,Developing area,2
326,Rajiv Gandhi Zoological Park,Rich historical significance,4
327,Shaniwar Wada,Beautiful garden with a serene atmosphere,1
328,Rajiv Gandhi Zoological Park,Rich historical significance,5
329,Pataleshwar Cave Temple,Amazing variety of animals,2
330,Vishrambaug Wada,Amazing variety of animals,5
331,Raja Dinkar Kelkar Museum,Beautiful garden with a serene atmosphere,4
332,Aga Khan Palace,Beautiful garden with a serene atmosphere,5
333,Dagdusheth Halwai Ganpati Temple,Amazing variety of animals,3
334,Shunyo Park,Great for shopping,2
335,Laxmi Road,Scenic and tranquil,1
336,Osho Ashram,Scenic and tranquil,5
337,Dagdusheth Halwai Ganpati Temple,Developing area,3
338,Osho Ashram,Well-connected,3
339,Vishrambaug Wada,Developing area,2
340,Pataleshwar Cave Temple,Scenic and tranquil,5
341,Tulsi Baug,Busy and bustling,1
342,Peshwa Udyan,Rich historical significance,5
343,Pataleshwar Cave Temple,Beautiful garden with a serene atmosphere,4
344,Kasba Ganpati Temple,Amazing variety of animals,4
345,Kamala Nehru Park,Rich historical significance,5
346,Baner Pashan Biodiversity Park,Rich historical significance,1
347,Kasba Ganpati Temple,Beautiful garden with a serene atmosphere,3
348,Mahatma Phule Mandai,Amazing variety of animals,5
349,Chaturshringi Temple,Scenic and tranquil,1
350,Dagdusheth Halwai Ganpati Temple,Scenic and tranquil,1
351,Vishrambaug Wada,Family-friendly,4
352,Peshwe Udyan Zoo,Well-connected,3
353,Dagdusheth Halwai Ganpati Temple,Scenic and tranquil,3
354,Lal Mahal,Developing area,3
355,Pataleshwar Cave Temple,Amazing variety of animals,4
356,Osho Ashram,Amazing variety of animals,1
357,Aga Khan Palace,Great for shopping,4
358,Sinhagad Fort,Amazing variety of animals,4
359,Peshwe Udyan Zoo,Busy and bustling,3
360,Tathawade Park,Well-connected,2
361,Kamala Nehru Park,Rich historical significance,2
362,Mulshi Lake and Dam,Rich historical significance,5
363,Laxmi Road,Well-connected,3
364,Chaturshringi Temple,Rich historical significance,1
365,Kamala Nehru Park,Family-friendly,5
366,Sinhagad Fort,Very spiritual and peaceful,5
367,Saras Baug,Scenic and tranquil,5
368,Laxmi Road,Scenic and tranquil,2
369,Katraj Snake Park,Beautiful garden with a serene atmosphere,2
370,Vishrambaug Wada,Family-friendly,4
371,Kasba Ganpati Temple,Busy and bustling,2
372,Saras Baug,Well-connected,4
373,Dagdusheth Halwai Ganpati Temple,Family-friendly,1
374,Shunyo Park,Family-friendly,1
375,Shinde Chhatri,Busy and bustling,3
376,Pune Okayama Friendship Garden,Scenic and tranquil,5
377,Dagdusheth Halwai Ganpati Temple,Rich historical significance,3
378,Tulsi Baug,Beautiful garden with a serene atmosphere,2
379,Sinhagad Fort,Beautiful garden with a serene atmosphere,1
380,Kamala Nehru Park,Rich historical significance,3
381,Tathawade Park,Family-friendly,1
382,Peshwe Udyan Zoo,Very spiritual and peaceful,1
383,Kasba Ganpati Temple,Amazing variety of animals,1
384,Kasba Ganpati Temple,Very spiritual and peaceful,1
385,Kamala Nehru Park,Great for shopping,4
386,Dagdusheth Halwai Ganpati Temple,Great for shopping,3
387,Peshwe Udyan Zoo,Family-friendly,1
388,Osho Ashram,Scenic and tranquil,3
389,Raja Dinkar Kelkar Museum,Busy and bustling,1
390,Hong Kong Lane,Very spiritual and peaceful,3
391,Pataleshwar Cave Temple,Amazing variety of animals,1
392,Baner Pashan Biodiversity Park,Beautiful garden with a serene atmosphere,4
393,Pune Okayama Friendship Garden,Well-connected,1
394,Shaniwar Wada,Beautiful garden with a serene atmosphere,3
395,Rajiv Gandhi Zoological Park,Rich historical significance,2
396,Chaturshringi Temple,Family-friendly,1
397,Mahatma Phule Mandai,Rich historical significance,4
398,Vishrambaug Wada,Well-connected,1
399,Laxmi Road,Rich historical significance,4
400,Vishrambaug Wada,Family-friendly,5
401,Kamala Nehru Park,Rich historical significance,2
402,Saras Baug,Family-friendly,5
403,Rajiv Gandhi Zoological Park,Well-connected,2
404,Shinde Chhatri,Developing area,4
405,Kasba Ganpati Temple,Very spiritual and peaceful,1
406,Mulshi Lake and Dam,Beautiful garden with a serene atmosphere,5
407,Shinde Chhatri,Family-friendly,1
408,Baner Pashan Biodiversity Park,Busy and bustling,4
409,Sambhaji Park,Busy and bustling,1
410,Pune Okayama Friendship Garden,Rich historical significance,2
411,Lal Mahal,Scenic and tranquil,2
412,Tathawade Park,Rich historical significance,4
413,Katraj Snake Park,Rich historical significance,2
414,Dagdusheth Halwai Ganpati Temple,Well-connected,5
415,Shaniwar Wada,Busy and bustling,4
416,Dagdusheth Halwai Ganpati Temple,Beautiful garden with a serene atmosphere,2
417,Rajiv Gandhi Zoological Park,Amazing variety of animals,1
418,Osho Ashram,Great for shopping,1
419,Kamala Nehru Park,Rich historical significance,2
420,Shaniwar Wada,Very spiritual and peaceful,4
421,Mulshi Lake and Dam,Family-friendly,5
422,Rajiv Gandhi Zoological Park,Rich historical significance,2
423,Baner Pashan Biodiversity Park,Scenic and tranquil,1
424,Chaturshringi Temple,Rich historical significance,3
425,Empress Garden,Great for shopping,2
426,Tulsi Baug,Amazing variety of animals,2
427,Hong Kong Lane,Beautiful garden with a serene atmosphere,3
428,Vishrambaug Wada,Rich historical significance,2
429,Shaniwar Wada,Rich historical significance,1
430,Baner Pashan Biodiversity Park,Family-friendly,1
431,Osho Ashram,Great for shopping,3
432,Hong Kong Lane,Beautiful garden with a serene atmosphere,5
433,Bund Garden,Rich historical significance,2
434,Rajiv Gandhi Zoological Park,Amazing variety of animals,2
435,Fashion Street,Amazing variety of animals,2
436,Tathawade Park,Very spiritual and peaceful,4
437,Shinde Chhatri,Great for shopping,4
438,Saras Baug,Family-friendly,1
439,Tulsi Baug,Well-connected,2
440,Saras Baug,Amazing variety of animals,1
441,Raja Dinkar Kelkar Museum,Developing area,3
442,Parvati Hill Temple,Rich historical significance,4
443,Empress Garden,Beautiful garden with a serene atmosphere,3
444,Mulshi Lake and Dam,Busy and bustling,1
445,Raja Dinkar Kelkar Museum,Great for shopping,1
446,Hong Kong Lane,Amazing variety of animals,5
